INFO mlfcs.phonon.scph.solver: SCPH iteration 57: delta_omega=1.536941e-06 THz, frequency_min=-1.408813e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 58: delta_omega=1.323186e-06 THz, frequency_min=-1.371837e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 59: delta_omega=3.317963e-06 THz, frequency_min=-1.234752e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 60: delta_omega=2.121395e-06 THz, frequency_min=-1.330407e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 61: delta_omega=3.553133e-06 THz, frequency_min=-1.192701e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 62: delta_omega=2.948133e-06 THz, frequency_min=-1.165544e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 63: delta_omega=4.001749e-06 THz, frequency_min=-1.178936e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 64: delta_omega=3.983087e-06 THz, frequency_min=-1.311157e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 65: delta_omega=7.052721e-07 THz, frequency_min=-1.331710e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 66: delta_omega=4.084711e-07 THz, frequency_min=-1.318111e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 67: delta_omega=1.641398e-06 THz, frequency_min=-1.277522e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 68: delta_omega=1.745469e-06 THz, frequency_min=-1.222521e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 69: delta_omega=1.326474e-06 THz, frequency_min=-1.243009e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 70: delta_omega=2.613394e-06 THz, frequency_min=-1.165427e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 71: delta_omega=4.872938e-06 THz, frequency_min=-1.354403e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 72: delta_omega=2.390182e-06 THz, frequency_min=-1.244631e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 73: delta_omega=1.107006e-06 THz, frequency_min=-1.184188e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 74: delta_omega=2.297498e-06 THz, frequency_min=-1.299690e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 75: delta_omega=1.877771e-06 THz, frequency_min=-1.220045e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 76: delta_omega=1.887876e-06 THz, frequency_min=-1.305557e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 77: delta_omega=2.760589e-06 THz, frequency_min=-1.208737e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 78: delta_omega=1.584914e-06 THz, frequency_min=-1.276195e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 79: delta_omega=2.690947e-06 THz, frequency_min=-1.189785e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 80: delta_omega=5.245572e-06 THz, frequency_min=-1.401504e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 81: delta_omega=3.655603e-06 THz, frequency_min=-1.263257e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 82: delta_omega=2.338070e-06 THz, frequency_min=-1.167322e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 83: delta_omega=1.363244e-06 THz, frequency_min=-1.124888e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 84: delta_omega=1.413947e-06 THz, frequency_min=-1.147382e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 85: delta_omega=3.226913e-06 THz, frequency_min=-1.238926e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 86: delta_omega=2.497651e-06 THz, frequency_min=-1.351919e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 87: delta_omega=1.167282e-06 THz, frequency_min=-1.352028e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 88: delta_omega=6.383550e-07 THz, frequency_min=-1.332548e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 89: delta_omega=8.209563e-07 THz, frequency_min=-1.302101e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 90: delta_omega=2.774439e-06 THz, frequency_min=-1.274614e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 91: delta_omega=4.019473e-06 THz, frequency_min=-1.180369e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 92: delta_omega=2.321597e-06 THz, frequency_min=-1.257110e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 93: delta_omega=5.828992e-07 THz, frequency_min=-1.244696e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 94: delta_omega=2.047397e-06 THz, frequency_min=-1.195839e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 95: delta_omega=3.322050e-06 THz, frequency_min=-1.332700e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 96: delta_omega=3.266595e-07 THz, frequency_min=-1.335827e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 97: delta_omega=3.546283e-06 THz, frequency_min=-1.194729e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 98: delta_omega=3.009962e-06 THz, frequency_min=-1.341218e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 99: delta_omega=1.408665e-06 THz, frequency_min=-1.351888e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 100: delta_omega=2.917621e-06 THz, frequency_min=-1.277366e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 101: delta_omega=2.667751e-06 THz, frequency_min=-1.198459e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 102: delta_omega=1.140801e-06 THz, frequency_min=-1.227277e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 103: delta_omega=2.649811e-06 THz, frequency_min=-1.239470e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 104: delta_omega=7.093450e-06 THz, frequency_min=-1.437156e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 105: delta_omega=5.977126e-06 THz, frequency_min=-1.278668e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 106: delta_omega=1.607528e-06 THz, frequency_min=-1.261241e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 107: delta_omega=2.732337e-06 THz, frequency_min=-1.307998e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 108: delta_omega=3.540430e-06 THz, frequency_min=-1.262559e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 109: delta_omega=2.399793e-06 THz, frequency_min=-1.229416e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 110: delta_omega=1.411971e-06 THz, frequency_min=-1.225285e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 111: delta_omega=4.889251e-06 THz, frequency_min=-1.175408e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 112: delta_omega=4.666947e-06 THz, frequency_min=-1.236894e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 113: delta_omega=1.179474e-06 THz, frequency_min=-1.291858e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 114: delta_omega=3.081496e-06 THz, frequency_min=-1.144170e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 115: delta_omega=4.167713e-06 THz, frequency_min=-1.369064e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 116: delta_omega=1.986327e-06 THz, frequency_min=-1.318290e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 117: delta_omega=2.533831e-06 THz, frequency_min=-1.309437e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 118: delta_omega=2.812962e-06 THz, frequency_min=-1.300244e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 119: delta_omega=7.248615e-07 THz, frequency_min=-1.293170e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 120: delta_omega=3.693472e-06 THz, frequency_min=-1.163106e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 121: delta_omega=1.704232e-06 THz, frequency_min=-1.244539e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 122: delta_omega=1.062143e-06 THz, frequency_min=-1.228343e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 123: delta_omega=3.210233e-06 THz, frequency_min=-1.343622e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 124: delta_omega=9.286727e-07 THz, frequency_min=-1.312406e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 125: delta_omega=5.543430e-06 THz, frequency_min=-1.538235e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 126: delta_omega=5.040299e-06 THz, frequency_min=-1.289321e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 127: delta_omega=3.882764e-06 THz, frequency_min=-1.382576e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 128: delta_omega=4.128169e-06 THz, frequency_min=-1.232635e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 129: delta_omega=3.936390e-06 THz, frequency_min=-1.135123e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 130: delta_omega=4.072442e-06 THz, frequency_min=-1.141116e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 131: delta_omega=2.757381e-06 THz, frequency_min=-1.192957e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 132: delta_omega=2.881903e-06 THz, frequency_min=-1.063012e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 133: delta_omega=4.766852e-06 THz, frequency_min=-1.303303e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 134: delta_omega=4.253924e-06 THz, frequency_min=-1.199213e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 135: delta_omega=3.202411e-06 THz, frequency_min=-1.267034e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 136: delta_omega=1.681464e-06 THz, frequency_min=-1.249669e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 137: delta_omega=1.236425e-06 THz, frequency_min=-1.281543e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 138: delta_omega=9.966359e-07 THz, frequency_min=-1.244397e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 139: delta_omega=8.317352e-07 THz, frequency_min=-1.224828e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 140: delta_omega=9.367318e-07 THz, frequency_min=-1.184940e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 141: delta_omega=1.682517e-06 THz, frequency_min=-1.229083e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 142: delta_omega=1.852873e-06 THz, frequency_min=-1.221926e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 143: delta_omega=1.282387e-06 THz, frequency_min=-1.181259e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 144: delta_omega=2.523966e-06 THz, frequency_min=-1.181533e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 145: delta_omega=5.976963e-06 THz, frequency_min=-1.435705e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 146: delta_omega=2.474678e-06 THz, frequency_min=-1.476350e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 147: delta_omega=2.961341e-06 THz, frequency_min=-1.358273e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
